file,num_clusters,silhouette,db_index,ch_index,params
breast-cancer-clustering.csv,2,0.68959314855254,0.5134920920034739,1258.8602050600482,{'num_neighbors': 2}
breast-cancer-clustering.csv,2,0.6972014951243944,0.4973248626769579,1283.1630583114077,{'num_neighbors': 3}
breast-cancer-clustering.csv,2,0.4886271657715657,0.7001904892000061,591.4399297724777,{'num_neighbors': 5}
breast-cancer-clustering.csv,2,0.49645636690460865,0.6953129209107596,607.5816574593354,{'num_neighbors': 7}
breast-cancer-clustering.csv,2,0.4170565472502978,0.737443183299471,461.73078186143135,{'num_neighbors': 8}
breast-cancer-clustering.csv,2,0.40467493474608396,0.7426355492782313,442.25903993656533,{'num_neighbors': 10}
glass-clustering.csv,6,0.25511226677012855,1.347235740347437,55.81396996854465,{'num_neighbors': 2}
glass-clustering.csv,6,0.33811697172561633,1.2432649525790165,58.30077026850048,{'num_neighbors': 3}
glass-clustering.csv,6,0.137798403166572,1.335311757590583,61.165516633964806,{'num_neighbors': 5}
glass-clustering.csv,6,0.183515506539271,1.409631139062861,67.52813082182892,{'num_neighbors': 7}
glass-clustering.csv,6,0.10381032217655124,1.3840731292942416,68.67385833671982,{'num_neighbors': 8}
glass-clustering.csv,6,0.10173676920837048,1.3194999135939154,70.40590815680582,{'num_neighbors': 10}
haberman-clustering.csv,2,0.35861129433736466,0.9814300190263919,178.7154685600732,{'num_neighbors': 2}
haberman-clustering.csv,2,0.3889379104142359,1.0326456719342672,193.53772649402424,{'num_neighbors': 3}
haberman-clustering.csv,2,0.3850373309824991,0.9253356882042266,196.17785414719316,{'num_neighbors': 5}
haberman-clustering.csv,2,0.3771387188483744,0.9229956363242897,189.72340440713666,{'num_neighbors': 7}
haberman-clustering.csv,2,0.3777568573664377,0.9307960290320197,191.31028298522259,{'num_neighbors': 8}
haberman-clustering.csv,2,0.3771298647409566,0.9409294562716867,191.98865255360724,{'num_neighbors': 10}
iris-clustering.csv,3,0.4145773387320646,0.5236391524205655,200.4930572768601,{'num_neighbors': 2}
iris-clustering.csv,3,0.5516789691041519,0.6574390384693342,539.0926499908667,{'num_neighbors': 3}
iris-clustering.csv,3,0.5522188636378731,0.6561138105586751,536.6428827495985,{'num_neighbors': 5}
iris-clustering.csv,3,0.5522188636378731,0.6561138105586751,536.6428827495985,{'num_neighbors': 7}
iris-clustering.csv,3,0.5522188636378731,0.6561138105586751,536.6428827495985,{'num_neighbors': 8}
iris-clustering.csv,3,0.5522188636378731,0.6561138105586751,536.6428827495985,{'num_neighbors': 10}
wine-clustering.csv,3,-0.04453931927820715,1.0130205909188326,44.26441659171889,{'num_neighbors': 2}
wine-clustering.csv,3,0.18210011949322824,1.4247520084178165,30.676456401804586,{'num_neighbors': 3}
wine-clustering.csv,3,0.5278164739498036,0.5214627936450983,403.39071932214034,{'num_neighbors': 5}
wine-clustering.csv,3,0.5468464620164881,0.5226313778487031,474.7909953338762,{'num_neighbors': 7}
wine-clustering.csv,3,0.5564445757528371,0.5267038010326793,523.0230237145491,{'num_neighbors': 8}
wine-clustering.csv,3,0.5567707388848442,0.5293470330238671,533.8577727285075,{'num_neighbors': 10}
